ID,TIMESTAMP,STARTING_LATITUDE,STARTING_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,VEHICLE_TYPE,TOTAL_LUGGAGE_WEIGHT,WAIT_TIME,TRAFFIC_STUCK_TIME,DISTANCE,FARE,lat,long,SQRT LAT,SQRT LONG,ADDED,FINAL,value
1,21-01-2016 06:59,13.044677,80.235723,13.178228,80.163277,Bus,,,8,34,32.09,-0.133551,0.072446,0.01783587,0.005248423,0.023084293,0.151935159,16.89518967
2,17-06-2016 22:23,28.63958,77.074113,28.587288,76.971306,Taxi AC,7,9,66,34,985.99,0.052292,0.102807,0.002734453,0.010569279,0.013303733,0.115341807,12.826897
3,16-03-2016 04:55,25.373881,82.96957,25.349656,82.992587,Taxi Non AC,18,6,53,1,1085.33,0.024225,-0.023017,0.000586851,0.000529782,0.001116633,0.033416058,3.715865619
4,26-04-2016 18:10,,,28.758384,77.011422,Metro,,,54,31,56.21,-28.758384,-77.011422,827.0446503,5930.759118,6757.803769,82.20586213,9141.291869
5,22-06-2016 01:51,22.543506,88.446273,22.706696,88.429522,bus,,,33,44,30.62,-0.16319,0.016751,0.026630976,0.000280596,0.026911572,0.164047469,18.2427856
6,18-03-2016 15:57,19.206757,72.882636,19.230355,72.838503,AC bus,,,23,43,59.82,-0.023598,0.044133,0.000556866,0.001947722,0.002504587,0.050045852,5.56598732
7,04-11-2015 16:26,19.012727,72.872332,19.147118,72.841727,taxi Non ac,22,0,61,34,586.36,-0.134391,0.030605,0.018060941,0.000936666,0.018997607,0.137831807,15.32689689
8,05-11-2015 08:51,12.944421,77.645893,12.877228,77.694882,Bus,,,28,18,32.27,0.067193,-0.048989,0.004514899,0.002399922,0.006914821,0.083155405,9.24688129
9,15-08-2016 14:41,25.304677,82.98701,25.387941,82.99002,Taxi AC,12,18,69,43,1122.08,-0.083264,-0.00301,0.006932894,9.0601E-06,0.006941954,0.083318388,9.2654757
10,23-01-2015 09:36,22.537007,88.447269,22.578402,88.404477,metro,,,17,19,23.54,-0.041395,0.042792,0.001713546,0.001831155,0.003544701,0.059537394,6.62558217
11,09-01-2015 05:18,19.016835,72.849415,19.234467,72.841091,Taxi AC,17,19,39,41,901.34,-0.217632,0.008324,0.047363687,0.000069289,0.047432976,0.21779113,24.21837368
12,24-12-2016 06:37,25.264279,83.01237,25.382989,83.017661,bus,,,33,23,50.4,-0.11871,-0.005291,0.014092064,2.79947E-05,0.014120059,0.118827854,13.21365732
13,09-07-2016 06:18,12.911021,80.254439,12.936834,80.236087,mini bus,,,24,14,34.62,-0.025813,0.018352,0.000666311,0.000336796,0.001003107,0.031671862,3.52191118
14,01-02-2016 00:32,19.11927,72.878143,19.031962,72.845992,metro,,,46,27,40.69,0.087308,0.032151,0.007622687,0.001033687,0.008656374,0.093039635,1.34674
15,04-03-2015 21:23,22.735616,88.403567,22.547498,88.413105,bus,,,57,37,43.29,0.188118,-0.009538,0.035388382,9.09734E-05,0.035479355,0.188359644,2.94559238
16,01-05-2015 23:04,28.599383,77.104063,28.751321,77.107824,metro,,,5,44,68.19,-0.151938,-0.003761,0.023085156,1.41451E-05,0.023099301,0.151984542,16.96816
17,28-04-2015 17:23,,,12.929617,80.15539,mini Bus,,,24,28,37.36,-12.929617,-80.15539,167.1749958,6424.886546,6592.061542,81.19151151,928.4968
18,02-02-2016 08:49,13.021446,80.255952,12.952216,80.154032,metro,,,34,36,31.38,0.06923,0.10192,0.004792793,0.010387686,0.015180479,0.123209088,13.78556
19,06-05-2016 08:56,25.374418,82.981756,25.319884,83.020486,Auto Rickshaw,,,50,26,548.3,0.054534,-0.03873,0.002973957,0.001500013,0.00447397,0.066887742,7.437916932
20,15-10-2015 12:20,13.160543,80.237017,12.922763,80.226263,Taxi non ac,5,3,13,40,388.63,0.23778,0.010754,0.056539328,0.000115649,0.056654977,0.23802306,26.46816423
21,14-02-2016 23:08,19.122025,72.852804,19.11034,72.861011,ac bus,,,20,14,62.35,0.011685,-0.008207,0.000136539,6.73548E-05,0.000203894,0.014279148,1.587841282
22,23-09-2015 11:25,12.939878,77.490222,13.098716,77.603401,metro,,,51,36,32.5,-0.158838,-0.113179,0.02522951,0.012809486,0.038038996,0.195035885,21.6879937
23,21-11-2016 11:54,13.145086,80.240101,12.929459,80.153838,Taxi non ac,6,17,5,30,300.81,0.215627,0.086263,0.046495003,0.007441305,0.053936308,0.232241918,25.8253124
24,18-06-2015 03:55,22.665667,88.429562,22.603646,88.381764,Ac Bus,,,5,22,61.82,0.062021,0.047798,0.003846604,0.002284649,0.006131253,0.07830232,8.77217933
25,15-05-2015 15:12,25.289699,82.973751,25.314504,82.965871,Auto rickshaw,,,61,37,555.5,-0.024805,0.00788,0.000615288,6.20944E-05,0.000677382,0.026026572,2.894154753
26,06-04-2016 14:30,22.563403,88.401179,22.681291,88.442293,Metro,,,12,34,36.33,-0.117888,-0.041114,0.013897581,0.001690361,0.015587942,0.124851678,13.8835661
27,25-01-2015 04:32,,,,,ac bus,,,9,25,37.07,0,0,0,0,0,0,
28,27-06-2016 16:03,13.030526,80.246843,12.922119,80.240786,mini Bus,,,58,37,44.69,0.108407,0.006057,0.011752078,3.66872E-05,0.011788765,0.108576079,12.7365997
29,08-12-2015 04:34,12.920335,77.528641,13.120777,77.527215,AUTO RICKSHAW,,,59,34,380.32,-0.200442,0.001426,0.040176995,2.03348E-06,0.040179029,0.200447072,22.28971445
30,06-07-2016 19:04,12.856581,77.716619,12.883099,77.508599,Bus,,,31,32,32.53,-0.026518,0.20802,0.000703204,0.04327232,0.043975525,0.209703421,23.31924
31,11-03-2015 17:39,12.84378,77.573894,12.998129,77.516561,metro,,,76,45,35.97,-0.154349,0.057333,0.023823614,0.003287073,0.027110687,0.164653232,18.3943936
32,01-12-2016 06:07,19.084173,72.858639,19.247523,72.882155,taxi non ac,4,11,14,21,379.46,-0.16335,-0.023516,0.026683223,0.000553002,0.027236225,0.165034011,18.3517821
33,10-03-2015 19:01,,,19.190526,72.858709,Auto Rickshaw,,,5,22,234.67,-19.190526,-72.858709,368.2762882,5308.391477,5676.667765,75.3436644,8378.215481
34,11-05-2015 05:21,12.947557,80.210826,12.907686,80.197314,bus,,,46,46,25.61,0.039871,0.013512,0.001589697,0.000182574,0.001772271,0.042098347,4.68133614
35,11-06-2016 21:37,25.317689,82.980269,25.368657,82.983328,AC Bus,,,35,24,73.77,-0.050968,-0.003059,0.002597737,9.35748E-06,0.002607095,0.051059715,5.67784318
36,08-11-2016 16:11,13.024097,77.6738,12.948687,77.54551,Auto Rickshaw,,,3,34,254.7,0.07541,0.12829,0.005686668,0.016458324,0.022144992,0.148811936,16.54788725
37,17-02-2015 21:56,28.668188,77.147271,28.642953,77.125975,Taxi AC,14,19,74,44,1266.86,0.025235,0.021296,0.000636805,0.00045352,0.001090325,0.033020067,3.671831478
38,12-10-2016 10:29,25.274459,83.022992,25.365709,82.9996,Taxi AC,14,18,25,13,350.32,-0.09125,0.023392,0.008326562,0.000547186,0.008873748,0.094200574,1.4751384
39,21-05-2015 06:50,28.720435,77.10996,28.625564,77.061313,Taxi AC,30,15,14,39,1073.65,0.094871,0.048647,0.009000507,0.002366531,0.011367037,0.106616309,11.85573351
40,23-12-2015 00:25,,,13.048264,80.221814,AC bus,,,11,28,39.79,-13.048264,-80.221814,170.2571934,6435.539441,6605.796635,81.27605204,937.896987
41,23-04-2016 18:02,22.449954,88.400716,22.727367,88.417781,bus,,,46,48,32.74,-0.277413,-0.017065,0.076957973,0.000291214,0.077249187,0.277937379,3.9663657
42,15-05-2016 12:08,25.345032,83.014762,25.347985,83.002762,auto rickshaw,,,0,9,117.78,-0.002953,0.012,8.72021E-06,0.000144,0.00015272,0.012358002,1.3742982
43,27-08-2016 04:00,22.701131,88.428773,22.647746,88.39522,taxi ac,5,11,29,42,693.29,0.053385,0.033553,0.002849958,0.001125804,0.003975762,0.063053644,7.11565224
44,09-10-2016 12:12,28.635645,77.008438,28.651532,77.138757,taxi Non Ac,2,5,46,26,559.93,-0.015887,-0.130319,0.000252397,0.016983042,0.017235439,0.131283809,14.59875957
45,01-12-2016 18:43,28.720699,77.105837,28.585494,77.003554,Auto Rickshaw,,,86,44,793.74,0.135205,0.102283,0.018280392,0.010461812,0.028742204,0.169535259,18.8523282
46,07-11-2016 22:14,22.633398,88.398355,22.665546,88.387636,Auto Rickshaw,,,30,18,205.86,-0.032148,0.010719,0.001033494,0.000114897,0.001148391,0.033887916,3.768336282
47,01-09-2016 14:00,,,,,Auto rickshaw,,,18,21,280,0,0,0,0,0,0,
48,10-10-2016 00:03,22.615605,88.424973,22.483563,88.410998,Bus,,,34,33,38.54,0.132042,0.013975,0.01743509,0.000195301,0.01763039,0.13277948,14.7657821
49,14-11-2015 00:15,22.459848,88.443534,22.666339,88.429451,taxi Non Ac,6,16,53,47,659.89,-0.206491,0.014083,0.042638533,0.000198331,0.042836864,0.206970684,23.15144
50,27-02-2016 07:16,12.922697,77.533361,13.061858,77.473477,Bus,,,17,31,30.94,-0.139161,0.059884,0.019365784,0.003586093,0.022951877,0.15149877,16.84666325
51,20-12-2016 16:38,13.123022,77.521053,12.914753,77.588539,Bus,,,28,33,32.61,0.208269,-0.067486,0.043375976,0.00455436,0.047930337,0.218929981,24.3451388
52,28-02-2016 11:50,19.13215,72.856765,19.172549,72.846805,taxi Non ac,16,13,36,47,794.2,-0.040399,0.00996,0.001632079,9.92016E-05,0.001731281,0.041608663,4.626883278
53,01-01-2016 21:22,19.216564,72.837939,19.040299,72.846485,ac bus,,,4,23,58.1,0.176265,-0.008546,0.03106935,7.30341E-05,0.031142384,0.17647205,19.62369193
54,28-12-2015 08:55,12.86426,77.628016,12.901257,77.645988,Mini bus,,,19,28,38.79,-0.036997,-0.017972,0.001368778,0.000322993,0.001691771,0.041131141,4.573782924
55,04-02-2015 11:27,28.570586,77.188059,28.589722,77.105328,taxi ac,30,11,13,10,264.77,-0.019136,0.082731,0.000366186,0.006844418,0.007210605,0.08491528,9.442579188
56,19-10-2015 20:04,28.712217,77.025918,28.710698,77.013187,taxi ac,27,8,16,15,382.03,0.001519,0.012731,2.30736E-06,0.000162078,0.000164386,0.0128213,1.42572859
57,18-07-2016 04:00,19.173529,72.842146,19.183926,72.866267,AUTO RICKSHAW,,,7,19,292.04,-0.010397,-0.024121,0.000108098,0.000581823,0.00068992,0.026266333,2.92816231
58,27-12-2015 22:38,28.707572,77.102641,28.685909,77.125735,auto rickshaw,,,1,43,1105.4,0.021663,-0.023094,0.000469286,0.000533333,0.001002618,0.03166415,3.52153497
59,20-04-2016 19:07,19.249408,72.847854,19.097051,72.838326,Metro,,,82,44,55.97,0.152357,0.009528,0.023212655,9.07828E-05,0.023303438,0.152654637,16.97519565
60,04-04-2016 04:02,28.756204,76.986641,28.667895,77.012385,ac bus,,,73,37,99.36,0.088309,-0.025744,0.007798479,0.000662754,0.008461233,0.091984961,1.22872764
61,26-05-2015 16:45,28.667553,77.138289,28.613686,76.963923,taxi Non ac,24,10,6,44,893.64,0.053867,0.174366,0.002901654,0.030403502,0.033305156,0.182497002,2.29366659
62,08-07-2015 12:05,28.765304,77.15729,28.693388,77.22883,mini bus,,,84,45,67.75,0.071916,-0.07154,0.005171911,0.005117972,0.010289883,0.101439059,11.282334
63,27-03-2016 15:55,28.61845,77.11117,28.663471,77.111787,Metro,,,6,29,52.09,-0.045021,-0.000617,0.00202689,3.80689E-07,0.002027271,0.045025228,5.685321
64,05-10-2016 08:42,13.114415,80.219123,13.088734,80.158877,bus,,,3,14,25.11,0.025681,0.060246,0.000659514,0.003629581,0.004289094,0.065491177,7.282618893
65,11-10-2015 12:08,13.137891,80.157028,12.969131,80.236105,mini bus,,,25,23,32.64,0.16876,-0.079077,0.028479938,0.006253172,0.03473311,0.18636821,2.7241449
66,09-01-2016 16:36,12.90434,80.136509,12.922484,80.231057,Metro,,,51,47,1557,-0.018144,-0.094548,0.000329205,0.008939324,0.009268529,0.0962732,1.7557984
67,08-05-2016 14:53,13.197332,80.159916,12.973684,80.204496,Auto Rickshaw,,,16,32,232.9,0.223648,-0.04458,0.050018428,0.001987376,0.052005804,0.228047811,25.35891663
68,09-05-2015 10:39,28.585628,76.988183,28.751625,76.969769,metro,,,55,42,66.54,-0.165997,0.018414,0.027555004,0.000339075,0.027894079,0.167015207,18.572913
69,03-12-2015 01:49,13.097314,77.606524,13.111083,77.559423,ac bus,,,9,15,41.51,-0.013769,0.047101,0.000189585,0.002218504,0.00240809,0.049072289,5.456838553
70,08-11-2015 20:33,19.251636,72.841845,19.248488,72.860006,Bus,,,23,33,51.37,0.003148,-0.018161,9.9099E-06,0.000329822,0.000339732,0.018431816,2.49617891
71,22-01-2015 16:15,28.602372,77.156303,28.661465,77.171528,Auto Rickshaw,,,76,42,772.61,-0.059093,-0.015225,0.003491983,0.000231801,0.003723783,0.061022809,6.785736412
72,25-05-2016 01:07,,,25.345618,82.999711,ac bus,,,14,15,80,-25.345618,-82.999711,642.4003518,6888.952026,7531.352378,86.78336464,965.31148
73,25-07-2016 03:23,28.669479,77.127042,28.673174,77.039582,Taxi non Ac,24,0,15,35,799.42,-0.003695,0.08746,0.000013653,0.007649252,0.007662905,0.087538018,9.73422762
74,24-11-2016 10:43,25.325342,82.981287,25.367014,82.989492,Bus,,,9,13,49.68,-0.041672,-0.008205,0.001736556,0.000067322,0.001803878,0.04247208,4.722895335
75,16-08-2015 09:51,13.120844,77.606234,13.023501,77.658943,taxi Non Ac,4,9,10,26,276.18,0.097343,-0.052709,0.00947566,0.002778239,0.012253898,0.110697328,12.3954283
76,02-04-2015 19:33,25.35475,83.022473,25.272242,83.021974,mini bus,,,24,28,79.55,0.082508,0.000499,0.00680757,0.000000249,0.006807819,0.082509509,9.17557394
77,21-02-2015 18:02,28.626767,77.146641,28.762885,76.979077,Metro,,,46,24,45.03,-0.136118,0.167564,0.01852811,0.028077694,0.046605804,0.215883774,24.627571
78,28-08-2015 09:38,28.561383,77.143035,28.686776,77.067998,Metro,,,32,36,62.62,-0.125393,0.075037,0.015723404,0.005630551,0.021353956,0.146129928,16.24964798
79,12-02-2016 18:16,13.06345,80.20582,12.935725,80.18955,taxi non Ac,24,5,37,23,235.32,0.127725,0.01627,0.016313676,0.000264713,0.016578389,0.128757091,14.31778854
80,02-03-2016 12:28,13.051367,77.480635,12.97166,77.536778,taxi ac,12,7,89,45,601.01,0.079707,-0.056143,0.006353206,0.003152036,0.009505242,0.097494832,1.84142534
81,03-07-2015 22:41,12.892599,80.2263,13.058523,80.164164,Taxi non Ac,21,17,33,22,246.68,-0.165924,0.062136,0.027530774,0.003860882,0.031391656,0.177176907,19.72723
82,09-03-2015 21:19,13.123751,80.136716,12.924694,80.140283,metro,,,11,47,34.57,0.199057,-0.003567,0.039623689,1.27235E-05,0.039636413,0.199088957,22.138692
83,27-08-2016 08:30,28.556494,77.178712,28.626498,77.160081,Metro,,,30,18,37.83,-0.070004,0.018631,0.00490056,0.000347114,0.005247674,0.072440832,8.5542546
