ID,TIMESTAMP,STARTING_LATITUDE,STARTING_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,VEHICLE_TYPE,TOTAL_LUGGAGE_WEIGHT,WAIT_TIME,TRAFFIC_STUCK_TIME,DISTANCE,FARE
3,2016-03-16 04:55:18,25.373881,82.96957,25.349656,82.992587,Taxi Non AC,18,6,53,1,1085.33
7,2015-11-04 16:26:53,19.012727,72.872332,19.147118,72.841727,taxi Non ac,22,0,61,34,586.36
20,2015-10-15 12:20:28,13.160543,80.237017,12.922763,80.226263,Taxi non ac,5,3,13,40,388.63
23,2016-11-21 11:54:36,13.145086,80.240101,12.929459,80.153838,Taxi non ac,6,17,5,30,300.81
32,2016-12-01 06:07:29,19.084173,72.858639,19.247523,72.882155,taxi non ac,4,11,14,21,379.46
44,2016-10-09 12:12:48,28.635645,77.008438,28.651532,77.138757,taxi Non Ac,2,5,46,26,559.93
49,2015-11-14 00:15:33,22.459848,88.443534,22.666339,88.429451,taxi Non Ac,6,16,53,47,659.89
52,2016-02-28 11:50:38,19.13215,72.856765,19.172549,72.846805,taxi Non ac,16,13,36,47,794.2
61,2015-05-26 16:45:35,28.667553,77.138289,28.613686,76.963923,taxi Non ac,24,10,6,44,893.64
73,2016-07-25 03:23:24,28.669479,77.127042,28.673174,77.039582,Taxi non Ac,24,0,15,35,799.42
75,2015-08-16 09:51:33,13.120844,77.606234,13.023501,77.658943,taxi Non Ac,4,9,10,26,276.18
79,2016-02-12 18:16:43,13.06345,80.20582,12.935725,80.18955,taxi non Ac,24,5,37,23,235.32
81,2015-07-03 22:41:04,12.892599,80.2263,13.058523,80.164164,Taxi non Ac,21,17,33,22,246.68
85,2016-01-14 00:08:33,28.750577,77.102801,28.587783,77.134451,taxi non ac,28,5,68,36,860.52
99,2015-07-22 05:31:44,22.578001,88.388259,22.58082,88.442044,taxi non Ac,9,9,11,8,116.12
100,2015-09-09 15:46:15,19.114779,72.86311,19.24877,72.872193,taxi Non Ac,12,3,53,28,494.25
106,2016-05-03 13:10:30,22.58814,88.406704,22.529147,88.392728,taxi Non Ac,14,18,72,41,522.33
124,2015-08-25 05:22:10,13.088858,80.164511,12.99192,80.223011,taxi Non Ac,30,11,18,17,189.3
144,2015-12-19 00:13:17,12.998643,80.211005,13.134654,80.255331,Taxi non ac,27,5,17,21,231.49
149,2015-12-08 04:17:38,22.555059,88.447037,22.456276,88.395283,taxi Non Ac,30,2,48,27,390.76
155,2015-05-28 12:51:58,12.901603,80.198854,12.889965,80.163724,taxi non ac,25,8,35,39,398.13
156,2015-06-10 20:45:16,13.103735,77.459484,13.026889,77.517778,taxi Non Ac,10,3,28,33,344.69
197,2015-04-12 11:31:25,19.140609,72.866453,19.068463,72.869405,Taxi non Ac,12,3,21,46,742.87
210,2015-10-03 00:54:39,13.150765,80.140338,13.140128,80.172659,Taxi Non AC,21,7,12,11,120.85
212,2015-12-17 00:37:55,13.073132,77.467131,12.941829,77.557586,taxi non Ac,26,6,48,44,515.75
219,2015-08-22 13:04:08,19.244999,72.863424,19.214264,72.882307,taxi non Ac,29,6,62,43,721.81
220,2016-04-09 17:02:08,28.678872,77.041833,28.734765,77.130453,Taxi non ac,9,1,35,18,381.88
221,2015-09-22 10:05:24,25.275539,82.982207,25.36653,83.019084,taxi non ac,3,2,35,26,557.74
226,2015-10-05 10:33:58,19.16759,72.878741,19.075529,72.867578,taxi non Ac,11,9,28,22,379.43
239,2015-07-01 21:46:01,12.989192,77.619114,12.922305,77.505205,taxi non ac,14,17,12,22,254.98
242,2016-12-20 05:14:47,22.673395,88.429274,22.537075,88.407995,Taxi non Ac,6,4,14,26,355.78
259,2015-10-02 00:43:57,28.666254,77.021947,28.639719,76.961642,taxi Non ac,13,11,46,31,713.45
269,2016-06-23 03:53:28,13.039752,77.515047,13.102266,77.546614,taxi Non ac,3,6,40,43,502.59
273,2015-11-23 00:43:25,28.58589,77.234064,28.674575,77.060065,taxi non ac,6,4,0,48,1050.38
274,2016-11-28 23:19:38,28.657976,77.108448,28.747338,77.186553,Taxi Non AC,26,1,26,37,825.81
278,2015-01-23 22:50:53,19.245733,72.853822,,,Taxi Non AC,11,4,11,41,730.4
282,2016-06-05 04:11:43,25.307166,82.977433,25.341392,82.991293,taxi non ac,13,19,40,22,529.89
285,2016-09-27 14:30:16,28.680738,77.114741,28.60939,77.118112,taxi non ac,23,15,29,16,356.4
288,2015-08-06 14:58:31,25.292618,83.018478,25.294118,82.973996,Taxi non ac,1,2,19,48,959
303,2015-10-13 09:55:51,28.697391,76.992382,28.759601,77.002548,Taxi non ac,19,19,70,44,966.96
308,2015-04-05 23:20:29,13.152579,80.228807,13.109697,80.243431,Taxi Non AC,29,14,33,42,456.25
314,2015-10-03 01:33:38,19.040479,72.842586,19.144514,72.868817,Taxi non ac,22,17,35,28,535.66
316,2016-11-04 02:28:28,12.950196,77.535431,12.988701,77.505174,taxi non ac,7,13,21,17,202.85
323,2015-02-24 06:40:39,22.47541,88.384047,22.726182,88.402599,Taxi Non AC,16,8,40,40,554.49
341,2015-07-20 02:54:42,12.992014,77.633506,13.031926,77.469022,Taxi Non AC,3,14,31,24,293.38
351,2015-01-14 05:22:24,13.045232,77.478967,12.961889,77.601126,Taxi Non AC,23,12,19,19,227.47
355,2015-08-09 12:14:51,13.029365,77.709159,12.843844,77.701182,taxi non Ac,25,4,63,36,385.74
361,2015-11-13 07:37:43,12.96545,77.520861,13.004915,77.499113,taxi Non Ac,2,10,26,20,239.52
363,2016-09-23 16:43:37,25.383309,82.962689,25.345777,82.999605,Taxi non Ac,1,8,18,42,844.78
377,2015-02-08 13:22:37,25.355183,83.003888,25.383869,83.010184,taxi non ac,8,11,70,43,943.78
390,2016-08-27 11:21:53,28.683218,77.163371,28.735763,77.157179,Taxi non ac,12,1,16,34,695.05
419,2015-08-07 10:09:53,28.55792,77.23081,28.63902,77.203949,Taxi Non AC,9,3,30,18,384.49
430,2016-03-12 15:21:12,22.520018,88.378832,22.568511,88.407413,Taxi Non AC,16,17,22,37,458.54
434,2016-05-01 04:34:25,22.510002,88.407855,22.675112,88.44171,taxi non Ac,24,11,43,42,570
436,2016-06-02 23:12:50,22.683046,88.423314,22.65515,88.397168,taxi non Ac,12,13,22,13,186.38
438,2016-06-21 17:54:43,28.565886,77.148336,28.708008,77.08665,Taxi non Ac,8,16,15,34,691.5
444,2016-07-22 08:25:50,,,28.732208,76.972073,taxi non Ac,24,13,9,34,765.42
445,2015-08-24 15:57:25,12.987068,80.238831,13.041929,80.211153,Taxi non Ac,9,15,54,46,479.09
452,2016-07-03 16:02:34,13.070017,80.159739,13.11031,80.202276,taxi Non ac,22,18,22,39,392.59
453,2016-03-17 23:22:42,28.651676,77.077897,28.733671,77.121152,Taxi non Ac,6,16,50,40,934.7
490,2015-08-05 05:17:45,28.570781,77.111744,28.59865,77.134821,Taxi non Ac,3,17,36,32,739.51
492,2015-11-23 11:32:04,28.57318,77.204237,,,Taxi non Ac,3,16,15,22,463.33
496,2016-06-14 20:42:25,13.140973,80.183101,12.918462,80.136679,taxi Non Ac,6,16,14,36,361.81
504,2015-02-02 21:31:24,12.967837,77.705448,12.972825,77.621506,Taxi non ac,11,17,29,42,484.86
512,2015-05-04 01:49:57,13.130725,80.230079,13.11564,80.199626,Taxi non Ac,26,18,7,7,85.49
519,2016-05-10 12:08:02,28.650296,77.081323,28.72483,77.068073,taxi Non ac,2,0,48,30,650.02
531,2015-08-09 18:59:35,12.972223,77.600187,13.090469,77.679676,Taxi Non AC,14,4,81,42,471
533,2016-12-24 10:28:14,22.67046,88.385105,22.538322,88.394355,taxi Non ac,3,19,38,41,529.3
546,2016-08-05 03:22:00,13.059295,80.140876,13.07367,80.166138,taxi non ac,22,2,23,48,509.89
563,2015-06-06 06:15:39,13.051113,80.179659,13.110236,80.251191,Taxi Non AC,2,6,48,29,335.01
579,2016-09-27 03:18:29,13.086945,80.180431,13.095461,80.167677,taxi non Ac,15,14,7,9,103.43
586,2015-12-17 08:16:06,12.929199,77.503529,13.082596,77.614116,taxi non Ac,13,9,40,36,422.04
606,2015-03-13 14:28:38,,,,,Taxi Non AC,17,5,19,31,637.5
619,2016-01-11 03:03:32,28.714851,77.161459,28.748276,77.116952,taxi Non ac,24,4,8,30,669.1
623,2016-08-17 22:40:56,19.056023,72.84266,19.239855,72.873298,Taxi non Ac,2,13,61,41,788.21
627,2016-06-03 10:39:02,,,22.584291,88.399249,Taxi non Ac,21,15,6,38,465
632,2015-01-15 15:50:12,22.593283,88.429939,22.68834,88.384721,taxi Non ac,18,17,12,33,404.25
647,2015-10-04 17:29:35,22.674296,88.438648,22.702838,88.444237,taxi Non Ac,27,3,65,41,525.78
654,2016-01-22 01:21:19,28.565825,77.04083,28.706114,77.176214,taxi non Ac,27,7,15,24,533.17
656,2015-01-28 02:32:01,13.114408,80.200929,12.942919,80.144373,taxi Non ac,1,14,89,48,558.54
665,2016-06-06 10:20:17,25.36615,82.98891,25.344531,83.023149,Taxi non ac,21,0,35,26,559.56
666,2016-08-16 08:31:59,13.119759,77.460758,12.962027,77.648553,taxi non Ac,14,9,10,29,333.61
667,2016-01-07 07:34:41,25.344245,83.00439,25.336259,82.982594,taxi Non ac,20,0,5,18,401.19
695,2015-07-07 14:47:09,22.672351,88.443972,22.654856,88.45146,Taxi non Ac,17,15,73,37,482.26
703,2015-11-08 14:44:59,13.020499,77.532462,13.125775,77.521224,Taxi non ac,24,13,71,39,427.14
705,2016-05-13 10:01:08,13.203447,80.149242,13.05557,80.212187,Taxi Non AC,13,2,37,47,471.59
710,2015-08-21 11:44:30,12.90961,77.554949,13.017455,77.465196,taxi non ac,2,4,64,40,432.65
